player,position,team,opp,fpts,salary,pts/$,pown
Tip Reiman,TE,ARI,NE,0.6,2500,0.2,0.0
Jamaal Williams,RB,NO,WAS,1,4200,0.2,0.0
Robert Woods,WR,HOU,MIA,0.7,3000,0.2,0.0
Jalen Tolbert,WR,DAL,@CAR,0.9,3900,0.2,0.2
Tanner Hudson,TE,CIN,@TEN,0.6,2600,0.2,0.0
Jeremy McNichols,RB,WAS,@NO,1.2,5300,0.2,0.0
Greg Dortch,WR,ARI,NE,0.7,3100,0.2,0.0
Jamari Thrash,WR,CLE,KC,0.7,3100,0.2,0.0
Mike Boone,RB,CAR,DAL,0.9,4000,0.2,0.0
Curtis Samuel,WR,BUF,@DET,0.8,3600,0.2,0.0
Trey Palmer,WR,TB,@LAC,0.7,3200,0.2,0.0
Ray Davis,RB,BUF,@DET,1,4700,0.2,0.0
Luke Schoonmaker,TE,DAL,@CAR,0.7,3300,0.2,0.0
Ty Johnson,RB,BUF,@DET,0.9,4400,0.2,0.0
Dallin Holker,TE,NO,WAS,0.5,2500,0.2,0.0
Jeremy Ruckert,TE,NYJ,@JAX,0.5,2500,0.2,0.0
Mo Alie-Cox,TE,IND,@DEN,0.5,2500,0.2,0.0
Nate Adkins,TE,DEN,IND,0.5,2500,0.2,0.0
Nick Vannett,TE,TEN,CIN,0.5,2500,0.2,0.0
Grant DuBose,WR,MIA,@HOU,0.6,3000,0.2,0.0
KaVontae Turpin,WR,DAL,@CAR,0.7,3600,0.2,0.0
Khalil Herbert,RB,CIN,@TEN,1,5200,0.2,0.0
Hassan Haskins,RB,LAC,TB,0.8,4200,0.2,0.0
Ezekiel Elliott,RB,DAL,@CAR,0.9,5100,0.2,0.0
Brock Wright,TE,DET,BUF,0.5,2900,0.2,0.0
Jalen Brooks,WR,DAL,@CAR,0.5,2900,0.2,0.0
Devontez Walker,WR,BAL,@NYG,0.5,3000,0.2,0.0
Laviska Shenault Jr.,WR,LAC,TB,0.5,3000,0.2,0.0
Nikko Remigio,WR,KC,@CLE,0.5,3000,0.2,0.0
Dameon Pierce,RB,HOU,MIA,0.7,4300,0.2,0.0
Jalin Hyatt,WR,NYG,BAL,0.5,3100,0.2,0.0
Ben Sinnott,TE,WAS,@NO,0.4,2500,0.2,0.0
C.J. Uzomah,TE,PHI,PIT,0.4,2500,0.2,0.0
Cam Grandy,TE,CIN,@TEN,0.4,2500,0.2,0.0
John Bates,TE,WAS,@NO,0.4,2500,0.2,0.0
Tylan Wallace,WR,BAL,@NYG,0.5,3200,0.2,0.0
Devin Singletary,RB,NYG,BAL,0.7,4700,0.1,0.0
Keaton Mitchell,RB,BAL,@NYG,0.7,4800,0.1,0.0
Sean Tucker,RB,TB,@LAC,0.6,4300,0.1,0.0
Jaylen Wright,RB,MIA,@HOU,0.6,4400,0.1,0.0
Bryce Oliver,WR,TEN,CIN,0.4,3000,0.1,0.0
Deven Thompkins,WR,CAR,DAL,0.4,3000,0.1,0.0
James Proche II,WR,CLE,KC,0.4,3000,0.1,0.0
Jermaine Burton,WR,CIN,@TEN,0.4,3000,0.1,0.0
Johnny Wilson,WR,PHI,PIT,0.4,3000,0.1,0.0
Rakim Jarrett,WR,TB,@LAC,0.4,3000,0.1,0.0
Ryan Miller,WR,TB,@LAC,0.4,3000,0.1,0.0
Xavier Gipson,WR,NYJ,@JAX,0.4,3000,0.1,0.0
Zach Pascal,WR,ARI,NE,0.4,3000,0.1,0.0
Justin Fields,QB,PIT,@PHI,0.6,4700,0.1,0.0
Carson Steele,RB,KC,@CLE,0.5,4000,0.1,0.0
Dare Ogunbowale,RB,HOU,MIA,0.5,4000,0.1,0.0
Pierre Strong Jr.,RB,CLE,KC,0.5,4000,0.1,0.0
Josh Reynolds,WR,JAX,NYJ,0.4,3300,0.1,0.0
Connor Heyward,TE,PIT,@PHI,0.3,2500,0.1,0.0
David Martin-Robinson,TE,TEN,CIN,0.3,2500,0.1,0.0
Jaheim Bell,TE,NE,@ARI,0.3,2500,0.1,0.0
MyCole Pruitt,TE,PIT,@PHI,0.3,2500,0.1,0.0
Quintin Morris,TE,BUF,@DET,0.3,2500,0.1,0.0
Shane Zylstra,TE,DET,BUF,0.3,2500,0.1,0.0
Cordarrelle Patterson,RB,PIT,@PHI,0.4,4000,0.1,0.0
JaMycal Hasty,RB,NE,@ARI,0.4,4000,0.1,0.0
Keilan Robinson,RB,JAX,NYJ,0.4,4000,0.1,0.0
Ben Skowronek,WR,PIT,@PHI,0.3,3000,0.1,0.0
Isaiah Williams,WR,CIN,@TEN,0.3,3000,0.1,0.0
Joshua Cephus,WR,JAX,NYJ,0.3,3000,0.1,0.0
River Cracraft,WR,MIA,@HOU,0.3,3000,0.1,0.0
Ryan Flournoy,WR,DAL,@CAR,0.3,3000,0.1,0.0
Xavier Hutchinson,WR,HOU,MIA,0.3,3000,0.1,0.0
Jonathan Mingo,WR,DAL,@CAR,0.3,3300,0.1,0.0
Chris Manhertz,TE,NYG,BAL,0.2,2500,0.1,0.0
Durham Smythe,TE,MIA,@HOU,0.2,2500,0.1,0.0
E.J. Jenkins,TE,PHI,PIT,0.2,2500,0.1,0.0
Greg Dulcich,TE,NYG,BAL,0.2,2500,0.1,0.0
Jack Westover,TE,NE,@ARI,0.2,2500,0.1,0.0
Josiah Deguara,TE,JAX,NYJ,0.2,2500,0.1,0.0
Kenny Yeboah,TE,NYJ,@JAX,0.2,2500,0.1,0.0
Ko Kieft,TE,TB,@LAC,0.2,2500,0.1,0.0
Payne Durham,TE,TB,@LAC,0.2,2500,0.1,0.0
Will Mallory,TE,IND,@DEN,0.2,2500,0.1,0.0
Brevyn Spann-Ford,TE,DAL,@CAR,0.2,2600,0.1,0.0
Hunter Luepke,RB,DAL,@CAR,0.3,4000,0.1,0.0
Julius Chestnut,RB,TEN,CIN,0.3,4000,0.1,0.0
Trey Sermon,RB,IND,@DEN,0.3,4000,0.1,0.0
Will Shipley,RB,PHI,PIT,0.3,4000,0.1,0.0
Ainias Smith,WR,PHI,PIT,0.2,3000,0.1,0.0
Mason Kinsey,WR,TEN,CIN,0.2,3000,0.1,0.0
Trayveon Williams,RB,CIN,@TEN,0.3,4500,0.1,0.0
Tim Jones,WR,JAX,NYJ,0.2,3100,0.1,0.0
Craig Reynolds,RB,DET,BUF,0.2,4000,0.1,0.0
DeeJay Dallas,RB,ARI,NE,0.2,4000,0.1,0.0
Tyler Goodson,RB,IND,@DEN,0.2,4000,0.1,0.0
Eric Gray,RB,NYG,BAL,0.1,4000,0.0,0.0
